,kingdom,phylum,cls,order,family,genus,species,subspecies,common_name,class,filepath
0,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/001.jpg
1,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/007.jpg
2,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/008.jpg
3,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/009.jpg
4,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/002.jpg
5,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/003.jpg
6,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/004.jpg
7,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/005.jpg
8,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/006.jpg
9,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/010.jpg
10,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/016.jpg
11,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/017.jpg
12,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/039.jpg
13,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/040.jpg
14,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/023.jpg
15,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/025.jpg
16,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/027.jpg
17,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/015.jpg
18,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/077.jpg
19,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/014.jpg
20,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/073.jpg
21,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/024.jpg
22,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/032.jpg
23,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/026.jpg
24,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/034.jpg
25,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/028.jpg
26,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/036.jpg
27,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Malacocincla,abbotti,,abbotts babbler,Malacocincla abbotti,train/ABBOTTS BABBLER/022.jpg
